Start Date,Start Time,End Date,End Time,Duration (h)
19/05/2021,12:20:37,19/05/2021,12:55:30,00:34:53
19/05/2021,16:47:32,19/05/2021,17:05:19,00:17:47
21/05/2021,09:25:48,21/05/2021,10:06:19,00:40:31
25/05/2021,14:10:00,25/05/2021,14:55:00,00:45:00
25/05/2021,15:33:00,25/05/2021,16:50:00,01:17:00
27/05/2021,16:12:33,27/05/2021,16:38:00,00:25:27
06/05/2021,17:26:17,06/05/2021,17:26:35,00:00:18
06/05/2021,17:27:04,06/05/2021,17:51:31,00:24:27
10/05/2021,09:48:14,10/05/2021,12:02:41,02:14:27
10/05/2021,13:05:49,10/05/2021,13:46:43,00:40:54
10/05/2021,16:00:00,10/05/2021,16:36:07,00:36:07
11/05/2021,09:02:00,11/05/2021,09:29:56,00:27:56
13/05/2021,10:36:52,13/05/2021,11:44:18,01:07:26
13/05/2021,13:00:00,13/05/2021,14:03:00,01:03:00
13/05/2021,13:17:10,13/05/2021,13:53:48,00:36:38
13/05/2021,15:04:06,13/05/2021,16:49:44,01:45:38
14/05/2021,09:12:27,14/05/2021,10:23:29,01:11:02
14/05/2021,11:02:50,14/05/2021,11:54:04,00:51:14
14/05/2021,13:07:01,14/05/2021,15:18:26,02:11:25
24/05/2021,16:28:22,24/05/2021,16:40:00,00:11:38
25/05/2021,14:04:25,25/05/2021,14:52:47,00:48:22
26/05/2021,09:06:53,26/05/2021,09:49:42,00:42:49
04/05/2021,13:28:59,04/05/2021,13:59:11,00:30:12
05/05/2021,11:13:08,05/05/2021,11:29:03,00:15:55
10/05/2021,16:38:00,10/05/2021,17:29:34,00:51:34
11/05/2021,09:49:51,11/05/2021,11:19:40,01:29:49
11/05/2021,13:12:00,11/05/2021,13:50:00,00:38:00
11/05/2021,13:39:54,11/05/2021,13:54:37,00:14:43
11/05/2021,14:00:00,11/05/2021,15:02:00,01:02:00
13/05/2021,13:22:20,13/05/2021,13:32:51,00:10:31
14/05/2021,09:52:49,14/05/2021,10:04:02,00:11:13
14/05/2021,13:03:00,14/05/2021,13:59:47,00:56:47
20/05/2021,14:35:47,20/05/2021,15:26:28,00:50:41
20/05/2021,15:37:58,20/05/2021,16:41:06,01:03:08
20/05/2021,17:11:42,20/05/2021,17:42:57,00:31:15
20/05/2021,17:45:12,20/05/2021,18:01:48,00:16:36
21/05/2021,14:31:13,21/05/2021,15:14:02,00:42:49
21/05/2021,14:47:12,21/05/2021,15:12:59,00:25:47
21/05/2021,15:14:09,21/05/2021,15:25:44,00:11:35
21/05/2021,16:14:53,21/05/2021,16:43:00,00:28:07
25/05/2021,09:39:47,25/05/2021,09:58:42,00:18:55
25/05/2021,10:15:45,25/05/2021,10:39:09,00:23:24
25/05/2021,16:52:54,25/05/2021,16:53:20,00:00:26
26/05/2021,09:00:08,26/05/2021,09:04:31,00:04:23
26/05/2021,09:39:32,26/05/2021,09:44:34,00:05:02
26/05/2021,09:53:51,26/05/2021,10:44:52,00:51:01
26/05/2021,10:45:01,26/05/2021,10:45:03,00:00:02
26/05/2021,11:04:59,26/05/2021,12:00:11,00:55:12
26/05/2021,11:06:40,26/05/2021,11:32:13,00:25:33
26/05/2021,13:08:06,26/05/2021,13:18:25,00:10:19
26/05/2021,13:18:41,26/05/2021,13:27:02,00:08:21
26/05/2021,13:27:18,26/05/2021,13:47:53,00:20:35
26/05/2021,15:01:16,26/05/2021,15:22:27,00:21:11
26/05/2021,15:34:00,26/05/2021,15:49:50,00:15:50
26/05/2021,15:50:02,26/05/2021,15:59:30,00:09:28
26/05/2021,16:00:13,26/05/2021,16:33:23,00:33:10
26/05/2021,16:33:40,26/05/2021,16:42:53,00:09:13
26/05/2021,16:43:10,26/05/2021,16:53:48,00:10:38
28/05/2021,15:26:51,28/05/2021,15:39:01,00:12:10
28/05/2021,16:18:43,28/05/2021,16:35:26,00:16:43
21/05/2021,09:08:35,21/05/2021,09:42:00,00:33:25
24/05/2021,10:03:33,24/05/2021,10:46:57,00:43:24
24/05/2021,11:24:11,24/05/2021,11:32:44,00:08:33
24/05/2021,13:56:36,24/05/2021,15:01:03,01:04:27
24/05/2021,15:32:59,24/05/2021,15:44:00,00:11:01
25/05/2021,14:59:00,25/05/2021,15:51:00,00:52:00
27/05/2021,11:09:13,27/05/2021,11:26:42,00:17:29
27/05/2021,14:07:33,27/05/2021,15:53:56,01:46:23
07/05/2021,10:00:00,07/05/2021,10:50:00,00:50:00
